Symbol,Date,OurRetPct,WebRetPct,OurAbsGt80,WebAbsGt80
000725,2020-06-26,99.37882753697605,-29.91281034213301,True,False
001465,2024-04-18,-91.73453996983407,-3.8596491228070184,True,False
002070,2019-07-29,118.92162758067748,29.93100166547704,True,False
004140,2021-01-14,118.99016979445936,0.0,True,False
007460,2017-11-21,92.02731247236822,14.03442240373396,True,False
009415,2024-10-31,142.9172510518934,21.458625525946708,True,False
009730,2020-03-27,118.63769327204348,29.69757064947942,True,False
009835,2020-06-11,110.49387857083369,24.87154150197628,True,False
009835,2020-09-08,104.00880214313052,-7.013693054626858,True,False
011080,2020-07-21,96.39639639639638,0.667008722421758,True,False
011200,2016-05-31,91.29036101513168,13.559202150233407,True,False
011300,2021-01-18,91.86351706036746,13.862928348909653,True,False
011810,2016-06-03,112.83572359843544,-2.9256979752029233,True,False
012170,2025-03-07,640.8695652173913,-17.4818401937046,True,False
012205,2018-05-18,118.87033398821218,29.971416904859115,True,False
012210,2025-04-25,93.1931931931932,-0.1293661060802087,True,False
012790,2020-07-22,145.1924229708668,29.90027947154472,True,False
019570,2023-05-04,207.6923076923077,-1.6949152542372836,True,False
020560,2019-04-16,95.14661763282686,16.071377176572167,True,False
023770,2019-07-09,456.1629379485015,16.150218186626695,True,False
036220,2024-03-14,648.5714285714286,-10.732538330494034,True,False
044180,2021-04-13,82.4463860206513,8.195949128591607,True,False
050090,2023-05-09,389.6464646464646,-1.2729124236252498,True,False
052670,2026-02-10,24082.692307692305,-19.520000000000003,True,False
058450,2023-12-13,514.2241379310345,-15.304606240713225,True,False
060260,2016-04-20,96.42122967669596,16.601952518304852,True,False
067630,2019-10-23,91.81808170906288,29.992537313432834,True,False
078860,2023-12-28,1789.7435897435898,-4.0364583333333375,True,False
079970,2024-08-22,636.7021276595744,-12.17501585288523,True,False
096690,2019-05-21,102.31196054254008,20.06952067325283,True,False
101000,2023-04-24,521.5384615384615,29.736673089274234,True,False
101680,2023-03-29,198.61111111111111,14.973262032085554,True,False
109960,2023-04-10,485.35564853556485,-2.304469273743015,True,False
121060,2019-05-17,-87.59791122715404,13.365155131264927,True,False
121890,2023-10-24,155.75101488497972,-1.6137428422696498,True,False
123010,2016-07-21,304.8431105047749,16.945812807881765,True,False
136660,2018-02-01,-85.96153846153847,-0.4545454545454519,True,False
136660,2024-12-16,406.94444444444446,-14.918414918414925,True,False
139050,2023-06-29,1282.6291079812206,-10.350076103500761,True,False
148780,2022-06-21,-83.70443349753694,-8.618784530386737,True,False
159910,2023-12-28,804.109589041096,-5.444126074498568,True,False
179720,2020-11-06,1351.505016722408,-14.901960784313728,True,False
183490,2018-02-22,-85.59213483146067,-2.3455943949432623,True,False
192410,2017-06-15,150.62265587349924,14.621112179415508,True,False
192410,2018-10-02,-89.40289650121845,-21.216558715854696,True,False
204840,2016-07-04,80.50117462803445,7.0267760408605495,True,False
205470,2020-06-19,184.98212157330153,29.875067897881593,True,False
208370,2023-02-27,119.3800468872102,29.989195863559193,True,False
223220,2020-09-11,160.546875,30.2734375,True,False
223220,2025-12-10,3520.4819277108436,-14.872521246458925,True,False
227420,2025-02-27,100.0,0.0,True,False
252500,2018-01-30,107.37359550561796,-5.473751600512166,True,False
260970,2021-02-02,-91.34843297340004,0.0,True,False
266170,2026-01-12,791.812865497076,-10.818713450292394,True,False
311320,2021-11-17,127.03313253012048,3.7330122140031063,True,False
318020,2020-12-10,88.92979560746477,11.894736842105269,True,False
323990,2021-01-05,102.17676396367756,19.687692986325533,True,False
33637L,2019-10-29,118.22529764933348,29.90671189726193,True,False
341310,2026-02-11,-95.6,10.000000000000009,True,False
900100,2017-12-07,204.6481130700859,-17.38254237957877,True,False
900300,2024-12-05,807.3529411764706,-8.997050147492624,True,False
